Week Start,Average Load Factor,Average Load Factor at Evening Peak,Average Load Factor at Night Minimum
2023-08-14,37.82423278179354,41.494884013147988,32.431397805377124
2023-08-21,51.532971214611656,52.307827333317015,50.97077391101913
2023-08-28,35.150804935736673,30.502431945568905,35.54933004785876
2023-09-04,38.827100828741301,39.865590449659912,36.886470614354145
2023-09-11,51.728237846116329,53.387037674096469,51.616122340493952
2023-09-18,37.128886060621639,49.326296508546967,24.791308320735464
2023-09-25,46.969152821459353,45.274489698103444,49.117806090881437
2023-10-02,34.109368319377111,39.247920677201705,30.487127764597794
2023-10-09,41.788654019138782,50.905025688864505,39.184247316892403
2023-10-16,44.833320815000185,53.165400931778962,44.084490034231059
2023-10-23,41.569356856457027,58.041786887620084,35.57955248549775
2023-10-30,44.199579854308716,57.350090194244416,42.291979538542421
2023-11-06,33.50194715409873,50.004465102691128,29.1858449605133
2023-11-13,38.941871638810248,44.749396111459909,33.899545148786267
2023-11-20,33.752178432032423,46.904845590856333,25.291437169656056
2023-11-27,39.103627349556241,52.968289056473175,31.385571991688927
2023-12-04,43.480289746157233,62.470392758898143,37.383250636256385
2023-12-11,37.567416411078256,58.860050153560515,32.597536143055919
2023-12-18,39.790879861764388,58.715809907797286,33.333717874395333
2023-12-25,44.427051108135281,58.594513484319641,40.195472734447975
2024-01-01,39.20292626065492,55.63329555701533,32.953499441239707
2024-01-08,32.947401595181432,54.187843052470356,28.968299845754768
2024-01-15,42.179604848094513,58.483242793278613,42.277401559217182
2024-01-22,37.335458787226642,55.047491512777611,32.205910119474687
2024-01-29,28.420510037005837,40.507009090799684,24.86325623008392
2024-02-05,33.882352324820438,53.123189942397673,28.024939009436057
2024-02-12,37.336519214534746,55.235142018068728,28.805730270449942
2024-02-19,40.677661636233267,60.702062703154915,35.368190459038281
2024-02-26,40.006111851375692,49.612639892372762,39.073470442970546
2024-03-04,30.096649312522178,40.816520381990365,27.865415331320165
2024-03-11,38.055346974305031,53.236618489757859,36.136561597046061
2024-03-18,29.106757797365386,41.17887840438145,25.338038566702032
2024-03-25,29.146069167317812,39.162552561437693,28.240662395494393
2024-04-01,43.7733046753415,52.44756927859958,42.067794865878852
2024-04-08,39.102128607683312,45.125863194399194,39.324192598635818
2024-04-15,27.77772613677184,25.682125355683187,27.563780215694333
2024-04-22,35.974122738037472,41.321122633049477,33.157184478871471
2024-04-29,36.769884300170524,34.894960119080466,30.082865832378548
2024-05-06,33.849239950441223,37.222784970862719,31.283260554096003
2024-05-13,30.025328011451009,32.369089704162043,25.719804846794275
2024-05-20,26.690178482382404,27.187433474742086,28.573212952615545
2024-05-27,31.527268283924638,31.33758873665397,26.273577173863877
2024-06-03,37.306760508518188,35.86953517700023,36.644384033689114
2024-06-10,32.683593977478331,28.5513148607,34.565206475726811
2024-06-17,38.632283577731293,34.840926566904542,39.727039475076545
2024-06-24,29.998117581590815,22.182804457965162,33.153719459589773
2024-07-01,44.064510324996661,43.689730969263408,41.8475524307214
2024-07-08,52.746877436665848,51.359013760068784,50.163125638279368
2024-07-15,27.572515556968291,27.58727595123079,22.257453837436234
2024-07-22,28.777671395000148,30.527944446819006,21.566553891009168
2024-07-29,34.403036830042659,34.067438819586194,29.444028319374354
