Date,Eskom OCGT Generation,Eskom Gas Generation,Dispatchable IPP OCGT,Manual Load Reduction(MLR),Palmiet Gen Unit Hours,Ingula Gen Unit Hours,Drakensberg Gen Unit Hours,Palmiet Max Hours,Ingula Max Hours,Drakensberg Max Hours,Palmiet Min Hours,Ingula Min Hours,Drakensberg Min Hours
2026-01-27 22:00:00,0,0,0.115,0,41.700000000000003,32.82,82.200000000000003,58.7,67,102,8,12,12
2026-01-27 23:00:00,0,0,0.13600000000000001,0,42,33.68,83,58.7,67,102,8,12,12
2026-01-28 00:00:00,0,0,0.10100000000000001,0,42.5,35.340000000000003,84.200000000000003,58.7,67,102,8,12,12
2026-01-28 01:00:00,0,0,3.3000000000000002E-2,0,43.299999999999997,36.799999999999997,85.400000000000006,58.7,67,102,8,12,12
2026-01-28 02:00:00,0,0,4.8000000000000001E-2,0,44,38.850000000000001,87.400000000000006,58.7,67,102,8,12,12
2026-01-28 03:00:00,0,0,0.02,0,44.799999999999997,41.270000000000003,88.200000000000003,58.7,67,102,8,12,12
2026-01-28 04:00:00,0,0,2.9000000000000001E-2,0,46,43.359999999999999,89.400000000000006,58.7,67,102,8,12,12
2026-01-28 05:00:00,0,0,142.69800000000001,0,46,43.990000000000002,89.700000000000003,58.7,67,102,8,12,12
2026-01-28 06:00:00,0,0,149.16499999999999,0,45.600000000000001,41.969999999999999,88.200000000000003,58.7,67,102,8,12,12
2026-01-28 07:00:00,0,0,149.583,0,43.299999999999997,39.740000000000002,87.400000000000006,58.7,67,102,8,12,12
2026-01-28 08:00:00,0,0,151.137,0,42,38.969999999999999,87.400000000000006,58.7,67,102,8,12,12
2026-01-28 09:00:00,0,0,150.922,0,40.899999999999999,38.130000000000003,87.400000000000006,58.7,67,102,8,12,12
2026-01-28 10:00:00,0,0,151.166,0,39.700000000000003,37.109999999999999,87.400000000000006,58.7,67,102,8,12,12
2026-01-28 11:00:00,0,0,151.27600000000001,0,39.700000000000003,36.380000000000003,87.400000000000006,58.7,67,102,8,12,12
2026-01-28 12:00:00,0,0,151.22999999999999,0,39.700000000000003,35.530000000000001,86.200000000000003,58.7,67,102,8,12,12
2026-01-28 13:00:00,0,0,151.20599999999999,0,38.899999999999999,34.490000000000002,85,58.7,67,102,8,12,12
2026-01-28 14:00:00,0,0,151.22499999999999,0,38.100000000000001,32.32,82.599999999999994,58.7,67,102,8,12,12
2026-01-28 15:00:00,0,0,151.24799999999999,0,37.700000000000003,31.190000000000001,80.200000000000003,58.7,67,102,8,12,12
2026-01-28 16:00:00,0,0,151.21000000000001,0,35.700000000000003,28.789999999999999,78.599999999999994,58.7,67,102,8,12,12
2026-01-28 17:00:00,0,0,151.24000000000001,0,35.5,26.48,76.599999999999994,58.7,67,102,8,12,12
2026-01-28 18:00:00,0,0,150.04300000000001,0,38.100000000000001,24.27,75,58.7,67,102,8,12,12
2026-01-28 19:00:00,0,0,148.78700000000001,0,35.5,24.399999999999999,74.599999999999994,58.7,67,102,8,12,12
2026-01-28 20:00:00,0,0,148.983,0,34.100000000000001,23.219999999999999,73.400000000000006,58.7,67,102,8,12,12
2026-01-28 21:00:00,0,0,80.789000000000001,0,32.899999999999999,21.620000000000001,72.200000000000003,58.7,67,102,8,12,12
2026-01-28 22:00:00,0,0,0.11899999999999999,0,32.5,21.559999999999999,71.799999999999997,58.7,67,102,8,12,12
2026-01-28 23:00:00,0,0,7.2999999999999995E-2,0,32.5,22.82,72.200000000000003,58.7,67,102,8,12,12
2026-01-29 00:00:00,0,0,5.7000000000000002E-2,0,33.700000000000003,24.989999999999998,73.400000000000006,58.7,67,102,8,12,12
2026-01-29 01:00:00,0,0,4.2999999999999997E-2,0,35.5,27.25,75,58.7,67,102,8,12,12
2026-01-29 02:00:00,0,0,6.7000000000000004E-2,0,36.899999999999999,30.370000000000001,76.599999999999994,58.7,67,102,8,12,12
2026-01-29 03:00:00,0,0,7.1999999999999995E-2,0,38.5,33.560000000000002,78.200000000000003,58.7,67,102,8,12,12
2026-01-29 04:00:00,0,0,0.153,0,40.299999999999997,36.68,79.799999999999997,58.7,67,102,8,12,12
2026-01-29 05:00:00,0,0,142.75700000000001,0,41.700000000000003,38.969999999999999,81.400000000000006,58.7,67,102,8,12,12
2026-01-29 06:00:00,0,0,149.185,0,41.700000000000003,39.32,81.400000000000006,58.7,67,102,8,12,12
2026-01-29 07:00:00,0,0,150.00899999999999,0,41.700000000000003,38.549999999999997,81,58.7,67,102,8,12,12
2026-01-29 08:00:00,0,0,149.89400000000001,0,41.700000000000003,39.5,81.400000000000006,58.7,67,102,8,12,12
2026-01-29 09:00:00,0,0,150.54499999999999,0,41.700000000000003,39.439999999999998,82.200000000000003,58.7,67,102,8,12,12
2026-01-29 10:00:00,0,0,150.93799999999999,0,41.700000000000003,38.850000000000001,82.200000000000003,58.7,67,102,8,12,12
2026-01-29 11:00:00,0,0,151.565,0,41.700000000000003,38.850000000000001,82.200000000000003,58.7,67,102,8,12,12
2026-01-29 12:00:00,0,0,151.584,0,42,38.850000000000001,82.599999999999994,58.7,67,102,8,12,12
2026-01-29 13:00:00,0,0,151.52099999999999,0,43.299999999999997,39.560000000000002,84.200000000000003,58.7,67,102,8,12,12
2026-01-29 14:00:00,0,0,151.541,0,43.700000000000003,40.329999999999998,85.799999999999997,58.7,67,102,8,12,12
2026-01-29 15:00:00,0,0,151.49700000000001,0,44.799999999999997,41.039999999999999,87.400000000000006,58.7,67,102,8,12,12
2026-01-29 16:00:00,0,0,151.50200000000001,0,45.600000000000001,41.859999999999999,89,58.7,67,102,8,12,12
2026-01-29 17:00:00,0,0,151.47399999999999,0,46,42.259999999999998,90,58.7,67,102,8,12,12
2026-01-29 18:00:00,0,0,150.197,0,46,42.259999999999998,90,58.7,67,102,8,12,12
2026-01-29 19:00:00,0,0,148.732,0,46,42.380000000000003,90,58.7,67,102,8,12,12
2026-01-29 20:00:00,0,0,148.98699999999999,0,45.600000000000001,41.270000000000003,88.599999999999994,58.7,67,102,8,12,12
2026-01-29 21:00:00,0,0,80.774000000000001,0,44,39.619999999999997,87.400000000000006,58.7,67,102,8,12,12
2026-01-29 22:00:00,0,0,9.0999999999999998E-2,0,42.5,38.43,86.200000000000003,58.7,67,102,8,12,12
2026-01-29 23:00:00,0,0,2.9999999999999999E-2,0,42.5,37.649999999999999,85.400000000000006,58.7,67,102,8,12,12
2026-01-30 00:00:00,0,0,3.4000000000000002E-2,0,43.299999999999997,36.920000000000002,86.400000000000006,58.7,67,102,8,12,12
2026-01-30 01:00:00,0,0,1.4999999999999999E-2,0,44,38.130000000000003,87.400000000000006,58.7,67,102,8,12,12
2026-01-30 02:00:00,0,0,2.9000000000000001E-2,0,46,40.149999999999999,89.700000000000003,58.7,67,102,8,12,12
2026-01-30 03:00:00,0,0,5.8999999999999997E-2,0,47.200000000000003,42.5,90.599999999999994,58.7,67,102,8,12,12
2026-01-30 04:00:00,0,0,6.6000000000000003E-2,0,48.799999999999997,44.450000000000003,91.5,58.7,67,102,8,12,12
2026-01-30 05:00:00,0,0,142.74000000000001,0,49.600000000000001,45.020000000000003,91.200000000000003,58.7,67,102,8,12,12
2026-01-30 06:00:00,0,0,149.184,0,48.799999999999997,42.259999999999998,90,58.7,67,102,8,12,12
2026-01-30 07:00:00,0,0,149.99600000000001,0,47.600000000000001,40.039999999999999,89,58.7,67,102,8,12,12
2026-01-30 08:00:00,0,0,151.50299999999999,0,47.200000000000003,39.030000000000001,88.200000000000003,58.7,67,102,8,12,12
2026-01-30 09:00:00,0,0,151.52099999999999,0,46,38.310000000000002,87.400000000000006,58.7,67,102,8,12,12
2026-01-30 10:00:00,0,0,151.55500000000001,0,44,37.049999999999997,87.400000000000006,58.7,67,102,8,12,12
2026-01-30 11:00:00,0,0,151.56899999999999,0,43.700000000000003,35.399999999999999,86.599999999999994,58.7,67,102,8,12,12
2026-01-30 12:00:00,0,0,151.53100000000001,0,43.700000000000003,34.670000000000002,85.799999999999997,58.7,67,102,8,12,12
2026-01-30 13:00:00,0,0,151.51599999999999,0,42.5,33.869999999999997,85,58.7,67,102,8,12,12
2026-01-30 14:00:00,0,0,151.53100000000001,0,41.700000000000003,33.130000000000003,84.599999999999994,58.7,67,102,8,12,12
2026-01-30 15:00:00,0,0,151.488,0,40.899999999999999,32.57,84.200000000000003,58.7,67,102,8,12,12
