DateTimeKey,Residual Forecast,RSA Contracted Forecast,Residual Demand,RSA Contracted Demand
2026-02-09 11:00:00,,,20067.632000000001,23383.415000000001
2026-02-09 12:00:00,,,19970.145,23415.901999999998
2026-02-09 13:00:00,,,19926.107,23467.575000000001
2026-02-09 14:00:00,,,20852.639999999999,23750.605
2026-02-09 15:00:00,,,21333.777999999998,24381.569
2026-02-09 16:00:00,,,21600.565999999999,24719.352999999999
2026-02-09 17:00:00,,,22509.241000000002,25441.880000000001
2026-02-09 18:00:00,,,23679.152999999998,26191.031999999999
2026-02-09 19:00:00,,,24588.773000000001,26879.881000000001
2026-02-09 20:00:00,,,23383.213,25438.896000000001
2026-02-09 21:00:00,,,22089.030999999999,24031.255000000001
2026-02-09 22:00:00,,,20707.861000000001,22545.876
2026-02-09 23:00:00,,,19799.087,21537.021000000001
2026-02-10 00:00:00,,,19316.659,20822.981
2026-02-10 01:00:00,,,19378.731,20702.627
2026-02-10 02:00:00,,,18926.844000000001,20475.175999999999
2026-02-10 03:00:00,,,19137.563999999998,20776.255000000001
2026-02-10 04:00:00,,,20474.423999999999,22180.25
2026-02-10 05:00:00,,,22641.627,24371.217000000001
2026-02-10 06:00:00,,,23309.108,24703.381000000001
2026-02-10 07:00:00,,,22168.508000000002,23641.422999999999
2026-02-10 08:00:00,,,21305.805,23580.986000000001
2026-02-10 09:00:00,,,21013.532999999999,23603.962
2026-02-10 10:00:00,,,20807.916000000001,23723.491000000002
2026-02-10 11:00:00,,,20574.73,23607.108
2026-02-10 12:00:00,,,20352.170999999998,23512.937000000002
2026-02-10 13:00:00,,,20100.774000000001,23315.778999999999
2026-02-10 14:00:00,,,20807.803,23992.448
2026-02-10 15:00:00,,,21667.741999999998,24681.303
2026-02-10 16:00:00,,,22504.114000000001,25415.021000000001
2026-02-10 17:00:00,,,22834.790000000001,25601.002
2026-02-10 18:00:00,,,24035.123,26261.342000000001
2026-02-10 19:00:00,,,25120.717000000001,27099.039000000001
2026-02-10 20:00:00,,,24124.481,26096.901000000002
2026-02-10 21:00:00,,,22770.238000000001,24591.819
2026-02-10 22:00:00,,,21320.793000000001,22824.396000000001
2026-02-10 23:00:00,,,20305.617999999999,21713.669999999998
2026-02-15 03:00:00,17326.321,19529.215,,
2026-02-15 02:00:00,17337.455999999998,19555.153999999999,,
2026-02-16 01:00:00,17893.953000000001,19708.598000000002,,
2026-02-16 02:00:00,17944.983,19759.723000000002,,
2026-02-15 01:00:00,17591.223999999998,19775.944,,
2026-02-15 04:00:00,17634.188999999998,19822.615000000002,,
2026-02-18 01:00:00,19096.952000000001,19846.861000000001,,
2026-02-18 02:00:00,19071.245999999999,19853.52,,
2026-02-16 00:00:00,18029.655999999999,19977.789000000001,,
2026-02-16 03:00:00,18186.867999999999,19990.756000000001,,
2026-02-15 05:00:00,17803.025000000001,20074.419000000002,,
2026-02-18 03:00:00,19273.633000000002,20092.037,,
2026-02-17 01:00:00,19182.106,20128.460999999999,,
2026-02-15 00:00:00,17915.616000000002,20186.358,,
