WeekStartDate,Forecast_Or_Actual_Value,Forecast_Or_Actual_Value_Legend
2025-12-01 12:00:00 AM,,2025-26-Residual Peak Forecast
2025-12-01 12:00:00 AM,26900,2024-25-Residual Peak Demand
2025-12-01 12:00:00 AM,,2024-25-Residual Peak Forecast
2025-12-08 12:00:00 AM,,2024-25-Residual Peak Forecast
2025-12-08 12:00:00 AM,26722,2024-25-Residual Peak Demand
2025-12-08 12:00:00 AM,,2025-26-Residual Peak Forecast
2025-12-08 12:00:00 AM,23967,2025-26-Residual Peak Demand
2025-12-08 12:00:00 AM,28647,2024-25-RSA Contracted Peak Demand
2025-12-08 12:00:00 AM,26479,2025-26-RSA Contracted Peak Demand
2025-12-15 12:00:00 AM,25199,2025-26-RSA Contracted Peak Demand
2025-12-15 12:00:00 AM,27533,2024-25-RSA Contracted Peak Demand
2025-12-15 12:00:00 AM,22725,2025-26-Residual Peak Demand
2025-12-15 12:00:00 AM,,2025-26-Residual Peak Forecast
2025-12-15 12:00:00 AM,25169,2024-25-Residual Peak Demand
2025-12-15 12:00:00 AM,,2024-25-Residual Peak Forecast
2025-12-22 12:00:00 AM,,2024-25-Residual Peak Forecast
2025-12-22 12:00:00 AM,,2025-26-Residual Peak Forecast
2025-12-22 12:00:00 AM,22788,2024-25-Residual Peak Demand
2025-12-22 12:00:00 AM,22303,2025-26-Residual Peak Demand
2025-12-22 12:00:00 AM,25330,2024-25-RSA Contracted Peak Demand
2025-12-22 12:00:00 AM,24382,2025-26-RSA Contracted Peak Demand
2025-12-29 12:00:00 AM,23321,2025-26-RSA Contracted Peak Demand
2025-12-29 12:00:00 AM,25312,2024-25-RSA Contracted Peak Demand
2025-12-29 12:00:00 AM,21113,2025-26-Residual Peak Demand
2025-12-29 12:00:00 AM,23239,2024-25-Residual Peak Demand
2025-12-29 12:00:00 AM,,2025-26-Residual Peak Forecast
2025-12-29 12:00:00 AM,,2024-25-Residual Peak Forecast
2026-01-05 12:00:00 AM,,2024-25-Residual Peak Forecast
2026-01-05 12:00:00 AM,,2025-26-Residual Peak Forecast
2026-01-05 12:00:00 AM,25301,2024-25-Residual Peak Demand
2026-01-05 12:00:00 AM,22751,2025-26-Residual Peak Demand
2026-01-05 12:00:00 AM,27487,2024-25-RSA Contracted Peak Demand
