WeekStartDate,Forecast_Or_Actual_Value,Forecast_Or_Actual_Value_Legend
29-Dec-2025,2872.1900000000001,2025-26-Residual Energy Demand
22-Dec-2025,2905.134,2025-26-Residual Energy Demand
05-Jan-2026,3145.1700000000001,2025-26-Residual Energy Demand
15-Dec-2025,3200.2979999999998,2025-26-Residual Energy Demand
19-Jan-2026,3307.3020000000001,2025-26-Residual Energy Demand
12-Jan-2026,3324.0189999999998,2025-26-Residual Energy Demand
01-Dec-2025,3346.8679999999999,2025-26-Residual Energy Demand
08-Dec-2025,3347.8270000000002,2025-26-Residual Energy Demand
29-Sep-2025,3356.9050000000002,2025-26-Residual Energy Demand
13-Oct-2025,3436.962,2025-26-Residual Energy Demand
17-Nov-2025,3443.924,2025-26-Residual Energy Demand
24-Nov-2025,3450.6999999999998,2025-26-Residual Energy Demand
20-Oct-2025,3467.4780000000001,2025-26-Residual Energy Demand
27-Oct-2025,3480.9059999999999,2025-26-Residual Energy Demand
03-Nov-2025,3484.1869999999999,2025-26-Residual Energy Demand
06-Oct-2025,3488.6849999999999,2025-26-Residual Energy Demand
10-Nov-2025,3502.4050000000002,2025-26-Residual Energy Demand
15-Sep-2025,3528.3850000000002,2025-26-Residual Energy Demand
22-Sep-2025,3555.9400000000001,2025-26-Residual Energy Demand
01-Sep-2025,3561.2040000000002,2025-26-Residual Energy Demand
08-Sep-2025,3576.4409999999998,2025-26-Residual Energy Demand
18-Aug-2025,3615.7710000000002,2025-26-Residual Energy Demand
28-Apr-2025,3660.8939999999998,2025-26-Residual Energy Demand
25-Aug-2025,3691.2559999999999,2025-26-Residual Energy Demand
14-Apr-2025,3696.663,2025-26-Residual Energy Demand
21-Apr-2025,3768.5070000000001,2025-26-Residual Energy Demand
31-Mar-2025,3775.2420000000002,2025-26-Residual Energy Demand
28-Jul-2025,3779.8420000000001,2025-26-Residual Energy Demand
07-Apr-2025,3780.7220000000002,2025-26-Residual Energy Demand
05-May-2025,3802.1199999999999,2025-26-Residual Energy Demand
04-Aug-2025,3860.3690000000001,2025-26-Residual Energy Demand
26-May-2025,3894.7710000000002,2025-26-Residual Energy Demand
30-Jun-2025,3909.8110000000001,2025-26-Residual Energy Demand
21-Jul-2025,3914.9560000000001,2025-26-Residual Energy Demand
11-Aug-2025,3918.587,2025-26-Residual Energy Demand
19-May-2025,3918.7150000000001,2025-26-Residual Energy Demand
02-Jun-2025,3922.7530000000002,2025-26-Residual Energy Demand
12-May-2025,3932.136,2025-26-Residual Energy Demand
07-Jul-2025,3943.6669999999999,2025-26-Residual Energy Demand
16-Jun-2025,3953.6309999999999,2025-26-Residual Energy Demand
23-Jun-2025,3983.6149999999998,2025-26-Residual Energy Demand
14-Jul-2025,3984.9659999999999,2025-26-Residual Energy Demand
09-Jun-2025,4054.998,2025-26-Residual Energy Demand
09-Jun-2025,,2025-26-Residual Energy Forecast
16-Jun-2025,,2025-26-Residual Energy Forecast
26-May-2025,,2025-26-Residual Energy Forecast
02-Jun-2025,,2025-26-Residual Energy Forecast
07-Jul-2025,,2025-26-Residual Energy Forecast
14-Jul-2025,,2025-26-Residual Energy Forecast
23-Jun-2025,,2025-26-Residual Energy Forecast
30-Jun-2025,,2025-26-Residual Energy Forecast
12-May-2025,,2025-26-Residual Energy Forecast
19-May-2025,,2025-26-Residual Energy Forecast
28-Apr-2025,,2025-26-Residual Energy Forecast
05-May-2025,,2025-26-Residual Energy Forecast
31-Mar-2025,,2025-26-Residual Energy Forecast
07-Apr-2025,,2025-26-Residual Energy Forecast
14-Apr-2025,,2025-26-Residual Energy Forecast
21-Apr-2025,,2025-26-Residual Energy Forecast
18-Aug-2025,,2025-26-Residual Energy Forecast
